ProductKey;OrderDate;DueDate;ShipDate;CustomerKey;Sales
381;20230101;20230113;20230108;16942;1000,4375
375;20230101;20230113;20230108;15114;2181,5625
369;20230101;20230113;20230108;15116;2443,35
337;20230101;20230113;20230108;20576;782,99
370;20230101;20230113;20230108;13059;2443,35
370;20230101;20230113;20230108;13085;2443,35
352;20230101;20230113;20230108;20186;2071,4196
337;20230101;20230113;20230108;15199;782,99
377;20230101;20230113;20230108;21200;2181,5625
387;20230102;20230114;20230109;19172;1000,4375
356;20230102;20230114;20230109;11484;2071,4196
369;20230102;20230114;20230109;13592;2443,35
373;20230102;20230114;20230109;13779;2181,5625
371;20230102;20230114;20230109;24778;2181,5625
368;20230102;20230114;20230109;13093;2443,35
375;20230102;20230114;20230109;24976;2181,5625
375;20230102;20230114;20230109;25046;2181,5625
368;20230102;20230114;20230109;25048;2443,35
360;20230102;20230114;20230109;12570;2049,0982
362;20230103;20230115;20230110;11604;2049,0982
371;20230103;20230115;20230110;13667;2181,5625
370;20230103;20230115;20230110;16046;2443,35
385;20230103;20230115;20230110;17095;1000,4375
368;20230103;20230115;20230110;12918;2443,35
368;20230103;20230115;20230110;28663;2443,35
369;20230103;20230115;20230110;21191;2443,35
373;20230103;20230115;20230110;20999;2181,5625
370;20230103;20230115;20230110;21002;2443,35
358;20230103;20230115;20230110;12354;2049,0982
321;20230103;20230115;20230110;26019;782,99
379;20230104;20230116;20230111;15100;2181,5625
371;20230104;20230116;20230111;15101;2181,5625
385;20230104;20230116;20230111;13992;1000,4375
375;20230104;20230116;20230111;24781;2181,5625
375;20230104;20230116;20230111;13060;2181,5625
371;20230104;20230116;20230111;13226;2181,5625
360;20230104;20230116;20230111;12341;2049,0982
354;20230104;20230116;20230111;12346;2071,4196
362;20230104;20230116;20230111;12576;2049,0982
373;20230105;20230117;20230112;15699;2181,5625
379;20230105;20230117;20230112;12980;2181,5625
370;20230105;20230117;20230112;28766;2443,35
358;20230105;20230117;20230112;20206;2049,0982
373;20230105;20230117;20230112;21183;2181,5625
370;20230105;20230117;20230112;21199;2443,35
369;20230106;20230118;20230113;13056;2443,35
368;20230106;20230118;20230113;13057;2443,35
360;20230106;20230118;20230113;26127;2049,0982
360;20230106;20230118;20230113;26252;2049,0982
354;20230106;20230118;20230113;12350;2071,4196
377;20230107;20230119;20230114;16054;2181,5625
377;20230107;20230119;20230114;12934;2181,5625
343;20230107;20230119;20230114;19931;782,99
379;20230107;20230119;20230114;21215;2181,5625
321;20230107;20230119;20230114;25958;782,99
343;20230107;20230119;20230114;26023;782,99
383;20230107;20230119;20230114;13993;1000,4375
354;20230108;20230120;20230115;26174;2071,4196
387;20230108;20230120;20230115;18130;1000,4375
373;20230108;20230120;20230115;16033;2181,5625
387;20230108;20230120;20230115;13986;1000,4375
325;20230108;20230120;20230115;19924;782,99
368;20230108;20230120;20230115;13063;2443,35
375;20230108;20230120;20230115;13202;2181,5625
360;20230108;20230120;20230115;26238;2049,0982
333;20230108;20230120;20230115;15191;782,99
369;20230108;20230120;20230115;21216;2443,35
362;20230108;20230120;20230115;12573;2049,0982
339;20230108;20230120;20230115;26020;782,99
377;20230109;20230121;20230116;15702;2181,5625
370;20230109;20230121;20230116;15357;2443,35
377;20230109;20230121;20230116;13068;2181,5625
375;20230109;20230121;20230116;13161;2181,5625
371;20230109;20230121;20230116;13173;2181,5625
375;20230109;20230121;20230116;13225;2181,5625
352;20230109;20230121;20230116;26249;2071,4196
360;20230109;20230121;20230116;12356;2049,0982
356;20230110;20230122;20230117;11568;2071,4196
352;20230110;20230122;20230117;11610;2071,4196
377;20230110;20230122;20230117;15929;2181,5625
379;20230110;20230122;20230117;12942;2181,5625
379;20230110;20230122;20230117;12949;2181,5625
371;20230110;20230122;20230117;12975;2181,5625
337;20230110;20230122;20230117;19069;782,99
375;20230110;20230122;20230117;13178;2181,5625
373;20230110;20230122;20230117;13190;2181,5625
354;20230110;20230122;20230117;26201;2071,4196
333;20230110;20230122;20230117;15195;782,99
